frame,time,u,v,X_world,Y_world,yaw_deg,area
64,2.135466666666667,2630.3008956669087,1182.910584604212,1681.5705886389226,845.6161452381759,146.6400358174677,11016.0
65,2.168833333333333,2632.263494801834,1192.5719344440913,1683.6955335662994,835.0016101471199,145.8871695584711,11013.5
66,2.2022,2633.690386790319,1202.0306114755333,1685.2404577634463,824.6097434898556,144.47669988892463,11052.5
67,2.2355666666666667,2634.4821115161335,1213.0232962812954,1686.0976737939952,812.5325244107937,143.85022700864414,11110.5
68,2.2689333333333335,2635.0985571154306,1224.4090022798175,1686.7651116451177,800.0235088114505,142.94907726003422,11112.0
69,2.3023000000000002,2635.7546165039075,1234.664851566836,1687.4754401298267,788.7558211746473,141.73605048694938,11110.5
70,2.3356666666666666,2636.419092613423,1244.9286539182601,1688.1948815649882,777.4793958270047,140.51493983225836,11112.5
71,2.3690333333333333,2636.46278854204,1255.2372024877407,1688.242192011737,766.153809615754,138.92073269937694,11148.0
72,2.4024,2637.317345943106,1264.47340689034,1689.1674382233716,756.006364655746,138.7385799520787,11102.5
73,2.435766666666667,2637.8765874794562,1273.7651128044224,1689.7729401033528,745.7979424253763,137.90241266225843,11155.0
74,2.469133333333333,2637.4303996407725,1284.503652147882,1689.2898436994076,733.9999427072269,135.95665929684637,11135.0
75,2.5025,2637.248254367826,1294.6301807066438,1689.0926314073479,722.8743345345595,135.33583066614585,11123.0
76,2.5358666666666667,2636.872349029475,1303.8149412892403,1688.6856312575526,712.7834088230713,134.14124218960993,11128.0
77,2.5692333333333335,2636.427846211273,1313.6912280701754,1688.2043592586326,701.9327311907541,133.98875497503133,11162.5
78,2.6026000000000002,2635.2647190208168,1324.1459692069448,1686.9450184287755,690.4465291068502,131.8328800728072,11193.0
79,2.6359666666666666,2634.2362837245905,1334.2110858687097,1685.831511178639,679.3883917065373,131.79009517812727,11224.5
80,2.6693333333333333,2632.681990465192,1344.768914157117,1684.1486471039327,667.7889319302162,130.34229909341803,11257.0
81,2.7027,2630.2915995465664,1355.7722391265438,1681.5605235454384,655.7000229328237,129.216122909378,11174.0
82,2.736066666666667,2628.858568232662,1365.2827293064877,1680.0089521791494,645.2512312607253,128.2687636581714,11175.0
83,2.769433333333333,2627.0916648077923,1375.0058145587032,1678.0958908702821,634.5688699640702,127.57347314960126,11207.5
84,2.8028,2624.214776937898,1385.9054690973767,1674.981027433844,622.5938594843146,126.75163748695145,11245.0
85,2.8361666666666667,2621.7911702143483,1395.8739792047838,1672.3569404659468,611.6418598057746,124.69634309316714,11204.5
86,2.8695333333333335,2619.887345885076,1404.7657304787763,1670.295632183928,601.8728515944008,124.78913118307145,11233.5
87,2.9029000000000003,2617.141528249092,1414.2376019527296,1667.3226810839026,591.4664887357396,123.29547526712403,11198.0
88,2.9362666666666666,2613.978745118921,1424.5187699680512,1663.8982731906897,580.170984434134,122.19995326876975,11268.0
89,2.9696333333333333,2611.829921657821,1434.087216994455,1661.5716994995903,569.6585179142439,122.27012109875055,11211.5
90,3.003,2609.122828711064,1443.5912971795324,1658.6406763870334,559.2167686447676,121.70154797409482,11322.0
91,3.036366666666667,2605.0125459177625,1454.4697831496624,1654.1903918555251,547.2650152168067,120.21812493054202,11252.0
